Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Itens Cardápio JSON,10807,511,501,555,4.75,0.000%,178.60448,191.86,23.37,1100.0
TOTAL,10807,511,501,555,4.75,0.000%,178.60448,191.86,23.37,1100.0
